genome,genome_length_bp,total_cds,known_function_cds,hypothetical_cds,pct_known_cds,pct_hypothetical_cds,known_function_bp,hypothetical_bp,noncoding_bp,pct_genome_known,pct_genome_hypothetical,pct_genome_noncoding,cds_with_cog,cds_with_ec,cds_with_gene_name,tier_named_cog_ec,tier_named_cog,tier_named_only,tier_hypothetical,feature_tRNA,feature_repeat_region,feature_tmRNA
J128_23_reoriented_merged,4930446,4366,3058,1308,70.0,30.0,3209037,1067574,653835,65.1,21.7,13.3,2347,1507,2977,1209,1138,711,1308,77,4.0,1
J12_21_reoriented_merged,4958087,4312,3119,1193,72.3,27.7,3352104,905652,700331,67.6,18.3,14.1,2374,1561,3037,1224,1150,745,1193,80,2.0,1
J134_23_reoriented_merged,4688998,4159,3005,1154,72.3,27.7,3167184,873702,648112,67.5,18.6,13.8,2293,1482,2924,1177,1116,712,1154,76,3.0,1
J13_21_reoriented_merged,5051644,4411,3064,1347,69.5,30.5,3282846,1107270,661528,65.0,21.9,13.1,2342,1508,2967,1200,1142,722,1347,76,3.0,1
J14_21_reoriented_merged,3989585,3663,2216,1447,60.5,39.5,2383548,1086408,519629,59.7,27.2,13.0,1374,1250,2055,758,616,842,1447,70,1.0,1
J15_21_reoriented_merged,6090394,5867,3842,2025,65.5,34.5,3970956,1305798,813640,65.2,21.4,13.4,2804,1857,3633,1406,1398,1038,2025,89,,1
J16_21_reoriented_merged,5012643,4392,3134,1258,71.4,28.6,3366492,941328,704823,67.2,18.8,14.1,2385,1570,3052,1232,1153,749,1258,80,2.0,1
J17_21_reoriented_merged,4864199,4317,3063,1254,71.0,29.0,3206265,1005759,652175,65.9,20.7,13.4,2337,1513,2969,1188,1149,726,1254,77,3.0,1
J18_21_reoriented_merged,4863319,4322,3062,1260,70.8,29.2,3205476,1006236,651607,65.9,20.7,13.4,2337,1513,2969,1188,1149,725,1260,78,3.0,1
J19_21_reoriented_merged,4864038,4320,3062,1258,70.9,29.1,3206133,1005972,651933,65.9,20.7,13.4,2337,1513,2969,1188,1149,725,1258,78,3.0,1
J1_21_reoriented_merged,4546720,4170,3227,943,77.4,22.6,3322518,671898,552304,73.1,14.8,12.1,2528,1560,3162,1296,1232,699,943,82,2.0,1
J20_21_reoriented_merged,4875153,4302,3023,1279,70.3,29.7,3178101,1051008,646044,65.2,21.6,13.3,2325,1494,2943,1200,1125,698,1279,76,4.0,1
J21_21_reoriented_merged,4881368,4306,3026,1280,70.3,29.7,3180531,1054155,646682,65.2,21.6,13.2,2325,1496,2946,1199,1126,701,1280,76,4.0,1
J2264_1_22_KMC_reoriented_merged,5401107,4968,1980,2988,39.9,60.1,2187198,2536488,677421,40.5,47.0,12.5,1125,1187,1782,689,436,855,2988,97,,1
J2264_3_22_KMC_reoriented_merged,5144383,4632,1915,2717,41.3,58.7,2157693,2361693,624997,41.9,45.9,12.1,1132,1189,1740,707,425,783,2717,88,,1
J22_21_reoriented_merged,5058581,4443,3126,1317,70.4,29.6,3352431,990933,715217,66.3,19.6,14.1,2379,1554,3041,1228,1151,747,1317,78,2.0,1
J24_21_reoriented_merged,4930688,4350,3049,1301,70.1,29.9,3206982,1070796,652910,65.0,21.7,13.2,2341,1502,2968,1205,1136,708,1301,77,4.0,1
J25_21_reoriented_merged,4930218,4360,3051,1309,70.0,30.0,3207594,1069467,653157,65.1,21.7,13.2,2342,1503,2970,1206,1136,709,1309,77,4.0,1
J26_21_reoriented_merged,4930240,4356,3050,1306,70.0,30.0,3206979,1070295,652966,65.0,21.7,13.2,2341,1503,2968,1205,1136,709,1306,77,4.0,1
J27_21_reoriented_merged,5100175,4621,3058,1563,66.2,33.8,3196428,1157004,746743,62.7,22.7,14.6,2336,1506,2972,1199,1137,722,1563,76,4.0,1
J28_21_reoriented_merged,5029850,4418,3118,1300,70.6,29.4,3339972,981996,707882,66.4,19.5,14.1,2380,1557,3034,1232,1148,738,1300,77,2.0,1
J29_21_reoriented_merged,5111827,4637,3067,1570,66.1,33.9,3202878,1161552,747397,62.7,22.7,14.6,2339,1514,2981,1202,1137,728,1570,76,4.0,1
J2_21_reoriented_merged,4603169,4082,2936,1146,71.9,28.1,3062889,889719,650561,66.5,19.3,14.1,2280,1427,2853,1157,1123,656,1146,76,2.0,1
J3009LEM_22_KMC_reoriented_merged,4927759,4388,3063,1325,69.8,30.2,3199707,1071909,656143,64.9,21.8,13.3,2350,1514,2982,1214,1136,713,1325,77,4.0,1
J3009_1_22_KMC_reoriented_merged,4827730,4252,3071,1181,72.2,27.8,3214011,957930,655789,66.6,19.8,13.6,2356,1517,2980,1197,1159,715,1181,78,3.0,1
J3009_2_22_KMC_reoriented_merged,5059033,4429,3073,1356,69.4,30.6,3288540,1108749,661744,65.0,21.9,13.1,2348,1516,2976,1206,1142,725,1356,76,3.0,1
J30_21_reoriented_merged,4940726,4414,3033,1381,68.7,31.3,3189279,1028922,722525,64.6,20.8,14.6,2317,1503,2957,1200,1117,716,1381,77,4.0,1
J31_21_reoriented_merged,5066424,4422,3069,1353,69.4,30.6,3292095,1107291,667038,65.0,21.9,13.2,2342,1509,2973,1198,1144,727,1353,76,3.0,1
J32_21_reoriented_merged,5000054,4430,3047,1383,68.8,31.2,3206820,1131399,661835,64.1,22.6,13.2,2336,1499,2966,1202,1134,711,1383,77,4.0,1
J33_21_reoriented_merged,4986808,4367,3109,1258,71.2,28.8,3334611,952164,700033,66.9,19.1,14.0,2375,1554,3030,1229,1146,734,1258,77,2.0,1
J34_21_reoriented_merged,4930223,4351,3050,1301,70.1,29.9,3206742,1069845,653636,65.0,21.7,13.3,2341,1503,2969,1205,1136,709,1301,77,4.0,1
J36_21_reoriented_merged,4930819,4350,3049,1301,70.1,29.9,3207021,1070814,652984,65.0,21.7,13.2,2341,1502,2968,1205,1136,708,1301,77,4.0,1
J37_21_reoriented_merged,4911027,4331,3044,1287,70.3,29.7,3203622,1055997,651408,65.2,21.5,13.3,2339,1500,2963,1204,1135,705,1287,77,5.0,1
J38_21_reoriented_merged,5131852,4515,3150,1365,69.8,30.2,3383835,1039590,708427,65.9,20.3,13.8,2388,1573,3067,1237,1151,762,1365,80,2.0,1
J39_21_reoriented_merged,5010348,4418,3127,1291,70.8,29.2,3352908,966657,690783,66.9,19.3,13.8,2383,1559,3044,1227,1156,744,1291,77,2.0,1
J3_21_reoriented_merged,4831273,4303,3052,1251,70.9,29.1,3184605,966750,679918,65.9,20.0,14.1,2362,1484,2964,1197,1165,690,1251,76,2.0,1
J40_21_reoriented_merged,5032880,4460,3126,1334,70.1,29.9,3353343,996978,682559,66.6,19.8,13.6,2379,1561,3043,1225,1154,747,1334,76,2.0,1
J41_21_reoriented_merged,5065506,4425,3070,1355,69.4,30.6,3287811,1113681,664014,64.9,22.0,13.1,2343,1510,2972,1200,1143,727,1355,76,3.0,1
J42_21_reoriented_merged,5156196,4652,3057,1595,65.7,34.3,3193965,1202370,759861,61.9,23.3,14.7,2341,1502,2971,1202,1139,716,1595,75,4.0,1
J44_21_reoriented_merged,4933715,4360,3052,1308,70.0,30.0,3207099,1072467,654149,65.0,21.7,13.3,2342,1502,2971,1205,1137,710,1308,77,4.0,1
J45_21_reoriented_merged,5050685,4411,3058,1353,69.3,30.7,3276423,1110903,663359,64.9,22.0,13.1,2339,1505,2965,1199,1140,719,1353,80,3.0,1
J46_21_reoriented_merged,5313462,4813,1998,2815,41.5,58.5,2219052,2431002,663408,41.8,45.8,12.5,1148,1208,1795,709,439,850,2815,93,,1
J47_21_reoriented_merged,4929897,4357,3049,1308,70.0,30.0,3206127,1069797,653973,65.0,21.7,13.3,2341,1501,2968,1204,1137,708,1308,74,4.0,1
J48_21_reoriented_merged,4864465,4321,3087,1234,71.4,28.6,3230166,979806,654493,66.4,20.1,13.5,2352,1513,2979,1192,1160,735,1234,77,1.0,1
J49_21_reoriented_merged,4974632,4499,3024,1475,67.2,32.8,3155805,1085343,733484,63.4,21.8,14.7,2320,1493,2942,1192,1128,704,1475,73,4.0,1
J4_21_reoriented_merged,5605384,5070,3721,1349,73.4,26.6,3919767,959877,725740,69.9,17.1,12.9,2738,1845,3573,1392,1346,983,1349,86,2.0,1
J50_21_reoriented_merged,5486048,4945,2015,2930,40.7,59.3,2256945,2566791,662312,41.1,46.8,12.1,1170,1236,1835,723,447,845,2930,93,,1
J51_21_reoriented_merged,4074758,3726,2633,1093,70.7,29.3,2733471,813957,527330,67.1,20.0,12.9,1973,1259,2563,979,994,660,1093,81,,1
J52_21_reoriented_merged,4930195,4357,3050,1307,70.0,30.0,3207096,1069761,653338,65.1,21.7,13.3,2341,1503,2968,1205,1136,709,1307,77,4.0,1
J53_21_reoriented_merged,4010681,3684,2225,1459,60.4,39.6,2380536,1118169,511976,59.4,27.9,12.8,1380,1245,2057,755,625,845,1459,73,,1
J54_21_reoriented_merged,4910705,4327,3110,1217,71.9,28.1,3263943,963273,683489,66.5,19.6,13.9,2397,1532,3019,1227,1170,713,1217,77,3.0,1
J56_21_reoriented_merged,5073393,4456,3145,1311,70.6,29.4,3373092,985761,714540,66.5,19.4,14.1,2384,1574,3056,1233,1151,761,1311,78,2.0,1
J57_21_reoriented_merged,4052928,3724,2617,1107,70.3,29.7,2710539,814014,528375,66.9,20.1,13.0,1982,1263,2553,988,994,635,1107,82,,1
J59_21_reoriented_merged,4911184,4332,3046,1286,70.3,29.7,3203931,1055142,652111,65.2,21.5,13.3,2340,1501,2965,1204,1136,706,1286,77,5.0,1
J5_21_reoriented_merged,3443661,3307,1961,1346,59.3,40.7,2025447,1032699,385515,58.8,30.0,11.2,1403,1101,1802,750,653,558,1346,74,,1
J60_21_reoriented_merged,4859580,4275,3101,1174,72.5,27.5,3238137,952851,668592,66.6,19.6,13.8,2362,1528,3000,1207,1155,739,1174,79,4.0,1
J61_21_reoriented_merged,5022580,4576,3160,1416,69.1,30.9,3273129,1058151,691300,65.2,21.1,13.8,2391,1545,3017,1217,1174,769,1416,78,2.0,1
J62_22_reoriented_merged,5225552,4720,3081,1639,65.3,34.7,3243318,1215669,766565,62.1,23.3,14.7,2348,1517,2995,1214,1134,733,1639,77,4.0,1
J63_22_reoriented_merged,5401148,4970,1984,2986,39.9,60.1,2191770,2533878,675500,40.6,46.9,12.5,1130,1191,1786,692,438,854,2986,97,,1
J64_22_reoriented_merged,5403349,4981,1983,2998,39.8,60.2,2188224,2534190,680935,40.5,46.9,12.6,1130,1185,1786,689,441,853,2998,97,,1
J65_21_reoriented_merged,5250390,4793,3105,1688,64.8,35.2,3249294,1230939,770157,61.9,23.4,14.7,2358,1535,3018,1222,1136,747,1688,79,5.0,1
J66_21_reoriented_merged,4971945,4529,3198,1331,70.6,29.4,3245613,1032756,693576,65.3,20.8,13.9,2421,1593,3094,1247,1174,777,1331,78,7.0,1
J68_21_reoriented_merged,4870283,4377,3043,1334,69.5,30.5,3167076,989373,713834,65.0,20.3,14.7,2334,1516,2969,1210,1124,709,1334,77,5.0,1
J69_21_reoriented_merged,5061690,4441,3079,1362,69.3,30.7,3290823,1106244,664623,65.0,21.9,13.1,2346,1515,2981,1202,1144,733,1362,76,4.0,1
J6_21_reoriented_merged,4958051,4317,3120,1197,72.3,27.7,3351093,905898,701060,67.6,18.3,14.1,2374,1560,3038,1224,1150,746,1197,80,2.0,1
J70_21_reoriented_merged,5023683,4394,3133,1261,71.3,28.7,3357981,962880,702822,66.8,19.2,14.0,2386,1569,3052,1231,1155,747,1261,77,3.0,1
J73_21_reoriented_merged,5097752,4495,3082,1413,68.6,31.4,3291630,1139535,666587,64.6,22.4,13.1,2351,1514,2986,1204,1147,731,1413,76,4.0,1
J74_21_reoriented_merged,4984093,4390,3159,1231,72.0,28.0,3323862,975504,684727,66.7,19.6,13.7,2423,1536,3077,1227,1196,736,1231,77,3.0,1
J75_21_reoriented_merged,4859437,4281,3104,1177,72.5,27.5,3241164,947472,670801,66.7,19.5,13.8,2363,1530,3003,1208,1155,741,1177,78,4.0,1
J76_21_reoriented_merged,4859469,4286,3106,1180,72.5,27.5,3239382,952152,667935,66.7,19.6,13.7,2365,1528,3005,1208,1157,741,1180,79,4.0,1
J77_22_reoriented_merged,5152733,4541,3084,1457,67.9,32.1,3293901,1181484,677348,63.9,22.9,13.1,2346,1517,2987,1204,1142,738,1457,76,4.0,1
J78_22_reoriented_merged,5091762,4469,3156,1313,70.6,29.4,3387963,985068,718731,66.5,19.3,14.1,2387,1581,3068,1234,1153,769,1313,78,3.0,1
J79_22_reoriented_merged,4909004,4394,3072,1322,69.9,30.1,3197265,1027164,684575,65.1,20.9,13.9,2344,1510,2990,1189,1155,728,1322,79,5.0,1
J7_21_reoriented_merged,4958136,4316,3119,1197,72.3,27.7,3352104,906297,699735,67.6,18.3,14.1,2374,1561,3037,1224,1150,745,1197,80,2.0,1
J80_22_reoriented_merged,4965505,4414,3154,1260,71.5,28.5,3310290,954876,700339,66.7,19.2,14.1,2391,1541,3051,1215,1176,763,1260,78,4.0,1
J81_22_reoriented_merged,5050761,4443,3151,1292,70.9,29.1,3373863,965172,711726,66.8,19.1,14.1,2389,1582,3064,1233,1156,762,1292,78,3.0,1
J82_22_reoriented_merged,5085547,4453,3192,1261,71.7,28.3,3411186,950562,723799,67.1,18.7,14.2,2411,1587,3092,1243,1168,781,1261,78,4.0,1
J83_22_reoriented_merged,4927964,4472,3049,1423,68.2,31.8,3168132,1034403,725429,64.3,21.0,14.7,2346,1523,2975,1219,1127,703,1423,77,4.0,1
J84_22_reoriented_merged,5036592,4422,3142,1280,71.1,28.9,3369156,960135,707301,66.9,19.1,14.0,2391,1575,3056,1235,1156,751,1280,78,2.0,1
J86_22_reoriented_merged,5053299,4422,3068,1354,69.4,30.6,3276423,1113486,663390,64.8,22.0,13.1,2343,1513,2972,1202,1141,725,1354,77,3.0,1
J8_21_reoriented_merged,4971137,4326,3128,1198,72.3,27.7,3361053,908415,701669,67.6,18.3,14.1,2379,1569,3046,1228,1151,749,1198,80,2.0,1
J91_22_reoriented_merged,4533221,4211,3213,998,76.3,23.7,3280824,709401,542996,72.4,15.6,12.0,2526,1556,3152,1293,1233,687,998,84,2.0,1
J93_22_reoriented_merged,4898591,4368,3026,1342,69.3,30.7,3181143,1001364,716084,64.9,20.4,14.6,2324,1503,2951,1202,1122,702,1342,77,4.0,1
J94_22_reoriented_merged,4944449,4400,3120,1280,70.9,29.1,3259890,1010418,674141,65.9,20.4,13.6,2362,1520,3012,1196,1166,758,1280,78,4.0,1
J95_22_reoriented_merged,4964210,4445,3036,1409,68.3,31.7,3189255,1056375,718580,64.2,21.3,14.5,2327,1510,2960,1206,1121,709,1409,77,4.0,1
J96_22_reoriented_merged,5101756,4633,3051,1582,65.9,34.1,3187149,1167252,747355,62.5,22.9,14.6,2338,1503,2967,1200,1138,713,1582,77,4.0,1
J97_22_reoriented_merged,5067859,4442,3082,1360,69.4,30.6,3291222,1111872,664765,64.9,21.9,13.1,2358,1524,2985,1215,1143,724,1360,76,3.0,1
J98_22_reoriented_merged,5036553,4436,3076,1360,69.3,30.7,3288789,1086156,661608,65.3,21.6,13.1,2349,1517,2978,1206,1143,727,1360,76,3.0,1
J99_22_reoriented_merged,4944451,4395,3119,1276,71.0,29.0,3259914,1009380,675157,65.9,20.4,13.7,2362,1520,3011,1196,1166,757,1276,78,4.0,1
